Time Sampling_Rate
1.01 3006153231
1.01 3006141342
1.01 3003747450
1.01 3006152080
1.01 3006155539
2.01 3003089694
2.01 3003091745
2.01 3003089642
2.01 3003090586
2.01 3003090163
3.01 3002064000
3.01 2994892163
3.01 3002081104
3.01 3001269022
3.01 3002065471
4.01 3001550626
4.01 3001550139
4.01 3001550797
4.01 3001563724
4.01 3001550799
5.01 3001252740
5.01 3001245134
5.01 3001241716
5.01 3001254345
5.01 3001242144
6.01 3001035817
6.01 3001035814
6.01 3001036394
6.01 3001036229
6.01 3001035725
7.01 3000889191
7.01 3000888543
7.01 3000888467
7.01 3000888698
7.01 3000889129
8.01 3000778301
8.01 3000778056
8.01 3000776562
8.01 3000778465
8.01 3000783733
9.01 3000692271
9.01 3000692627
9.01 3000692551
9.01 3000692312
9.01 3000689174
10.01 3000619189
10.01 3000619188
10.01 3000619472
10.01 3000622810
10.01 3000619822
11.01 3000563798
11.01 3000563778
11.01 3000563892
11.01 3000563232
11.01 3000563897
12.01 3000517047
12.01 3000516985
12.01 3000521414
12.01 3000518041
12.01 3000517110
13.01 3000478007
13.01 3000477786
13.01 3000477854
13.01 3000482295
13.02 2998173633
14.01 3000443688
14.02 2998304131
14.01 3000443974
14.01 3000448844
14.01 3000445342
15.01 2999064168
15.01 3000119030
15.01 3000313662
15.01 3000415328
15.02 2998418062
