PCM watt
78346906635  0   
85028695687  20            
87598376927  40   
87570254762  60 
85930577331  80
86311276663  100  
86296518070  120   
88970165413  140   
84767803129  160   
88364015160  180    
89468430757  200
84657409732  220   
85368747291  240                 
87705542542  260                    
91784303812  280                    
92118069280  300                    
92147765931  320           
92578901582  340            
89507121550  360                
96527564752  380                   
104559649229 400                    
108651120737 420                   
100568727753 440         
104416243013 460             
97012818426  480          
96439855398  500           
97293086404  520          
99759937633  540            
98407353021  560
99223681396  580 
93950217890  600   
97786685160  620   
101074095202 640           
100311980838 660            
96371354896  680                       
100493581188 700              
101061535921 720                 
100148822201 740                    
102444077382 760          
94864916386  780    
100335052562 800 
